source_value,harmonised_value,notes
2015 AUS0210,NSW,"PISA 2015 stratum: AUS - stratum 10: NSW-Gov, No Y10"
2015 AUS0420,QLD,"PISA 2015 stratum: AUS - stratum 20: QLD-Catholic, No Y10"
2015 AUS0530,SA,"PISA 2015 stratum: AUS - stratum 30: SA-Ind, No Y10"
2015 AUS0740,TAS,"PISA 2015 stratum: AUS - stratum 40: TAS-Gov, No Y10"
2015 AUS0101,ACT,"PISA 2015 stratum: AUS - stratum 01: ACT-Catholic, Y10"
2015 AUS0211,NSW,"PISA 2015 stratum: AUS - stratum 11: NSW-Ind, Y10"
2015 AUS0421,QLD,"PISA 2015 stratum: AUS - stratum 21: QLD-Gov, Y10"
2015 AUS0631,WA,"PISA 2015 stratum: AUS - stratum 31: WA-Catholic, Y10"
2015 AUS0741,TAS,"PISA 2015 stratum: AUS - stratum 41: TAS-Ind, Y10"
2015 AUS0102,ACT,"PISA 2015 stratum: AUS - stratum 02: ACT-Catholic, No Y10"
2015 AUS0212,NSW,"PISA 2015 stratum: AUS - stratum 12: NSW-Ind, No Y10"
2015 AUS0422,QLD,"PISA 2015 stratum: AUS - stratum 22: QLD-Gov, No Y10"
2015 AUS0632,WA,"PISA 2015 stratum: AUS - stratum 32: WA-Catholic, No Y10"
2015 AUS0742,TAS,"PISA 2015 stratum: AUS - stratum 42: TAS-Ind, No Y10"
2015 AUS0103,ACT,"PISA 2015 stratum: AUS - stratum 03: ACT-Gov, Y10"
2015 AUS0313,VIC,"PISA 2015 stratum: AUS - stratum 13: VIC-Catholic, Y10"
2015 AUS0423,QLD,"PISA 2015 stratum: AUS - stratum 23: QLD-Ind, Y10"
2015 AUS0633,WA,"PISA 2015 stratum: AUS - stratum 33: WA-Gov, Y10"
2015 AUS0843,NT,"PISA 2015 stratum: AUS - stratum 43: NT-Catholic, Y10"
2015 AUS0104,ACT,"PISA 2015 stratum: AUS - stratum 04: ACT-Gov, No Y10"
2015 AUS0314,VIC,"PISA 2015 stratum: AUS - stratum 14: VIC-Catholic, No Y10"
2015 AUS0424,QLD,"PISA 2015 stratum: AUS - stratum 24: QLD-Ind, No Y10"
2015 AUS0634,WA,"PISA 2015 stratum: AUS - stratum 34: WA-Gov, No Y10"
2015 AUS0844,NT,"PISA 2015 stratum: AUS - stratum 44: NT-Catholic, No Y10"
2015 AUS0105,ACT,"PISA 2015 stratum: AUS - stratum 05: ACT-Ind, Y10"
2015 AUS0315,VIC,"PISA 2015 stratum: AUS - stratum 15: VIC-Gov, Y10"
2015 AUS0525,SA,"PISA 2015 stratum: AUS - stratum 25: SA-Catholic, Y10"
