name,start,end,type,fmt
BASMID,1,12,d,N12.
BASEID,13,20,d,N8.
MAINRSLT,21,22,c,C2
PATH,23,24,c,C2
ENGLSPAN,25,26,d,N2.
AGE2006,27,28,d,N2.
SEX,29,30,d,N2.
RESPAGE,31,32,d,N2.
RESPSEX,33,34,d,N2.
RESRELN,35,36,d,N2.
MOMAGE1,37,38,d,N2.
MOMTYPE1,39,40,d,N2.
MOMAGE2,41,42,d,N2.
MOMTYPE2,43,44,d,N2.
DADAGE1,45,46,d,N2.
DADTYPE1,47,48,d,N2.
DADAGE2,49,50,d,N2.
DADTYPE2,51,52,d,N2.
AGE1,53,54,d,N2.
SEX1,55,56,d,N2.
RELATN1,57,58,d,N2.
AGE2,59,60,d,N2.
SEX2,61,62,d,N2.
RELATN2,63,64,d,N2.
AGE3,65,66,d,N2.
SEX3,67,68,d,N2.
RELATN3,69,70,d,N2.
AGE4,71,72,d,N2.
SEX4,73,74,d,N2.
RELATN4,75,76,d,N2.
AGE5,77,78,d,N2.
SEX5,79,80,d,N2.
RELATN5,81,82,d,N2.
AGE6,83,84,d,N2.
SEX6,85,86,d,N2.
RELATN6,87,88,d,N2.
AGE7,89,90,d,N2.
SEX7,91,92,d,N2.
RELATN7,93,94,d,N2.
CDOBMM,95,96,d,N2.
CDOBYY,97,100,d,N4.
CSPEAK,101,102,d,N2.
RESPEAK,103,104,d,N2.
ENROLL,105,106,d,N2.
HOMESCHL,107,108,d,N2.
HOMEALL,109,110,d,N2.
HOMSCHR,111,112,d,N2.
HOMSCFLG,113,114,d,N2.
GRADE,115,116,c,C2
GRADEEQ,117,118,c,C2
HSWHO,119,120,d,N2.
HSTUTOR,121,122,d,N2.
HSDAYS,123,124,d,N2.
HSHOURS,125,126,d,N2.
HSASSN,127,128,d,N2.
HSFREQ,129,131,d,N3.
HSKACTIV,132,133,d,N2.
HSCLIBR,134,135,d,N2.
HSCHSPUB,136,137,d,N2.
HSCEDPUB,138,139,d,N2.
HSCORG,140,141,d,N2.
HSCCHUR,142,143,d,N2.
HSCPUBL,144,145,d,N2.
HSCPRIV,146,147,d,N2.
HSCREL,148,149,d,N2.
HSCNET,150,151,d,N2.
HSOLIBR,152,153,d,N2.
HSOCHUR,154,155,d,N2.
HSOPUBL,156,157,d,N2.
HSOPRIV,158,159,d,N2.
HSOOTH,160,161,d,N2.
HSINTNET,162,163,d,N2.
HSINTPUB,164,165,d,N2.
HOMALLGRD,166,167,d,N2.
HOMET,168,169,d,N2.
HOMEK,170,171,d,N2.
HOMEP,172,173,d,N2.
HOME1,174,175,d,N2.
HOME2,176,177,d,N2.
HOME3,178,179,d,N2.
HOME4,180,181,d,N2.
HOME5,182,183,d,N2.
HOME6,184,185,d,N2.
HOME7,186,187,d,N2.
HOME8,188,189,d,N2.
HOME9,190,191,d,N2.
HOME10,192,193,d,N2.
HOME11,194,195,d,N2.
HOME12,196,197,d,N2.
HSSAFETY,198,199,d,N2.
HSDISSAT,200,201,d,N2.
HSRELIGN,202,203,d,N2.
HSDISABL,204,205,d,N2.
HSILL,206,207,d,N2.
HSSPCLND,208,209,d,N2.
HSALT,210,211,d,N2.
HSOTHER,212,213,d,N2.
HSMOST,214,215,d,N2.
KPENROLL,216,217,d,N2.
KPAGEYR,218,219,d,N2.
KPAGEMO,220,221,d,N2.
KPFULDAY,222,223,d,N2.
SPUBLIC,224,225,d,N2.
SCHOICE,226,227,d,N2.
SDISRCT,228,229,d,N2.
SPUBCHOI,230,231,d,N2.
