name,start,end,type,fmt
BASMID,1,12,d,N12.
BASEID,13,20,d,N8.
MAINRSLT,21,22,c,C2
PATH,23,24,c,C2
ENGLSPAN,25,26,d,N2.
AGE2006,27,28,d,N2.
SEX,29,30,d,N2.
RESPAGE,31,32,d,N2.
RESPSEX,33,34,d,N2.
RESRELN,35,36,d,N2.
MOMAGE1,37,38,d,N2.
MOMTYPE1,39,40,d,N2.
MOMAGE2,41,42,d,N2.
MOMTYPE2,43,44,d,N2.
DADAGE1,45,46,d,N2.
DADTYPE1,47,48,d,N2.
DADAGE2,49,50,d,N2.
DADTYPE2,51,52,d,N2.
AGE1,53,54,d,N2.
SEX1,55,56,d,N2.
RELATN1,57,58,d,N2.
AGE2,59,60,d,N2.
SEX2,61,62,d,N2.
RELATN2,63,64,d,N2.
AGE3,65,66,d,N2.
SEX3,67,68,d,N2.
RELATN3,69,70,d,N2.
AGE4,71,72,d,N2.
SEX4,73,74,d,N2.
RELATN4,75,76,d,N2.
AGE5,77,78,d,N2.
SEX5,79,80,d,N2.
RELATN5,81,82,d,N2.
AGE6,83,84,d,N2.
SEX6,85,86,d,N2.
RELATN6,87,88,d,N2.
CDOBMM,89,90,d,N2.
CDOBYY,91,94,d,N4.
CSPEAK,95,96,d,N2.
RESPEAK,97,98,d,N2.
ENROLL,99,100,d,N2.
HOMESCHL,101,102,d,N2.
HOMEALL,103,104,d,N2.
HOMSCHR,105,106,d,N2.
HOMSCFLG,107,108,d,N2.
GRADE,109,110,c,C2
GRADEEQ,111,112,c,C2
CPNNOW,113,114,d,N2.
CPNEVER,115,116,d,N2.
CPHRS,117,118,d,N2.
CPVISIT,119,120,d,N2.
PCEVRHD,121,122,d,N2.
DPCOLOR,123,124,d,N2.
DPLETTER,125,126,d,N2.
DPCOUNT,127,128,d,N2.
DPNAME,129,130,d,N2.
DPRHYME,131,132,d,N2.
DPSTSND,133,134,d,N2.
DPPENCIL,135,136,d,N2.
DPFIDGET,137,138,d,N2.
DPSPEAK,139,140,d,N2.
KPSTART,141,142,d,N2.
KPENROLL,143,144,d,N2.
SEENJOY,145,146,d,N2.
SEDOWELL,147,149,d,N3.
HABOOKS,150,152,d,N3.
FOREADTO,153,154,d,N2.
MOTHERFG,155,156,d,N2.
FATHERMG,157,158,d,N2.
SISBRO,159,160,d,N2.
ANOTADLT,161,162,d,N2.
SOMEONEL,163,164,d,N2.
FORDDAY,165,166,d,N2.
FOPICTR,167,168,d,N2.
FOLETTR,169,170,d,N2.
FOCHREAD,171,172,d,N2.
FOTLKSTR,173,174,d,N2.
HASTORY,175,176,d,N2.
HAWORDS,177,178,d,N2.
HAPRETND,179,180,d,N2.
FOCHLRD,181,182,d,N2.
HALEAPPD,183,184,d,N2.
FOSTORY1,185,186,d,N2.
FOWORDS,187,188,d,N2.
FOMUSIC,189,190,d,N2.
FOCRAFT1,191,192,d,N2.
FOSPORT1,193,194,d,N2.
FOGAMES1,195,196,d,N2.
FODINNER,197,198,d,N2.
FOLIBRAR,199,200,d,N2.
FOBOOKST,201,202,d,N2.
FOCONCRT,203,204,d,N2.
FOMUSEUM,205,206,d,N2.
FOZOO,207,208,d,N2.
FOGROUP,209,210,d,N2.
FOSPRTEV,211,212,d,N2.
TVHRWKDY,213,214,d,N2.
TVWKDYNU,215,216,d,N2.
TVHRWKND,217,218,d,N2.
TVWKNDNU,219,220,d,N2.
ABCCBSCW,221,222,d,N2.
ANIMPLAN,223,224,d,N2.
CARTOONS,225,226,d,N2.
