name,start,end,type,decimals,tipo
ID,1,4,d,,NUMERICO
QUESTIONARIO,5,5,d,,NUMERICO
B00P01,6,6,c,,CARACTER
B01P01,7,7,c,,CARACTER
B01P02,8,8,c,,CARACTER
B01P03,9,9,c,,CARACTER
B01P04,10,11,c,,CARACTER
B01P05,12,12,c,,CARACTER
B01P06,13,13,c,,CARACTER
B01P07,14,14,c,,CARACTER
B01P08,15,15,c,,CARACTER
B01P12,16,16,c,,CARACTER
B01P13,17,17,c,,CARACTER
B01P14,18,18,c,,CARACTER
B01P15,19,19,c,,CARACTER
B01P16,20,20,c,,CARACTER
B01P17,21,21,c,,CARACTER
B01P18,22,22,c,,CARACTER
B01P19,23,23,c,,CARACTER
B01P20,24,24,c,,CARACTER
B01P21,25,25,c,,CARACTER
B01P22,26,26,c,,CARACTER
B01P23,27,27,c,,CARACTER
B01P24,28,28,c,,CARACTER
B01P25,29,29,c,,CARACTER
B01P26,30,30,c,,CARACTER
B02P01,31,31,c,,CARACTER
B02P02,32,32,c,,CARACTER
B02P03,33,33,c,,CARACTER
B02P04,34,34,c,,CARACTER
B02P05,35,35,c,,CARACTER
B02P06,36,36,c,,CARACTER
B02P07,37,37,c,,CARACTER
B02P08,38,38,c,,CARACTER
B02P09,39,39,c,,CARACTER
B02P10,40,40,c,,CARACTER
B02P11,41,41,c,,CARACTER
B02P12,42,42,c,,CARACTER
B02P13,43,43,c,,CARACTER
B02P14,44,44,c,,CARACTER
B02P15,45,45,c,,CARACTER
B02P16,46,46,c,,CARACTER
B02P17,47,47,c,,CARACTER
B02P18,48,48,c,,CARACTER
B02P19,49,49,c,,CARACTER
B03P01,50,50,c,,CARACTER
B03P02,51,51,c,,CARACTER
B03P03,52,52,c,,CARACTER
B03P04,53,53,c,,CARACTER
B03P05,54,54,c,,CARACTER
B03P06,55,55,c,,CARACTER
B03P07,56,57,c,,CARACTER
B03P08,58,58,c,,CARACTER
B03P09,59,59,c,,CARACTER
B03P10,60,60,c,,CARACTER
B03P11,61,61,c,,CARACTER
B03P12,62,62,c,,CARACTER
B03P13,63,63,c,,CARACTER
B04P01,64,64,c,,CARACTER
B04P02,65,66,c,,CARACTER
B04P03,67,67,c,,CARACTER
B04P04,68,68,c,,CARACTER
B04P05,69,69,c,,CARACTER
B04P06,70,70,c,,CARACTER
B04P07,71,71,c,,CARACTER
B04P08,72,72,c,,CARACTER
B05P01,73,73,c,,CARACTER
B05P02,74,75,c,,CARACTER
B05P03,76,76,c,,CARACTER
B05P04,77,77,c,,CARACTER
B05P05,78,78,c,,CARACTER
B05P06,79,79,c,,CARACTER
B05P07,80,80,c,,CARACTER
B05P08,81,81,c,,CARACTER
B05P09,82,82,c,,CARACTER
B05P10,83,83,c,,CARACTER
B05P11,84,85,c,,CARACTER
B06P01,86,86,c,,CARACTER
B06P02,87,87,c,,CARACTER
B06P03,88,88,c,,CARACTER
B06P04,89,89,c,,CARACTER
B07P01,90,90,c,,CARACTER
B07P02,91,91,c,,CARACTER
B07P03,92,92,c,,CARACTER
B07P04,93,93,c,,CARACTER
B07P05,94,94,c,,CARACTER
B07P06,95,95,c,,CARACTER
B07P07,96,96,c,,CARACTER
B07P08,97,97,c,,CARACTER
B07P09,98,98,c,,CARACTER
B08P01,99,99,c,,CARACTER
B08P02,100,100,c,,CARACTER
B08P03,101,101,c,,CARACTER
B08P04,102,102,c,,CARACTER
B08P05,103,103,c,,CARACTER
B08P06,104,104,c,,CARACTER
B08P07,105,105,c,,CARACTER
B08P08,106,106,c,,CARACTER
B08P09,107,107,c,,CARACTER
B08P10,108,108,c,,CARACTER
B09P01,109,109,c,,CARACTER
B09P02,110,110,c,,CARACTER
B10P01,111,111,c,,CARACTER
B10P02,112,112,c,,CARACTER
B10P03,113,113,c,,CARACTER
B10P04,114,114,c,,CARACTER
B11P01,115,115,c,,CARACTER
Q2B01P01,116,121,c,2,NUMERIC
Q2B01P02,122,127,c,2,NUMERIC
COD_UF,128,129,d,,NUMERICO
COD_MUNICIPIO,130,134,c,,CARACTER
DEPEND_ADM,135,143,c,,CARACTER
ESTALOCA,144,149,c,,CARACTER(6)
B01P03M,150,150,d,,NUMERICO
TURMA,151,151,d,,NUMERICO
TURMAS,152,153,d,,NUMERICO
MATRIC,154,155,d,,NUMERICO
FREQ,156,157,d,,NUMERICO
PESQ,158,159,d,,NUMERICO
CAPITAL,160,161,d,,NUMERICO
PESQ_CRIT,162,163,d,,NUMERICO
FREQ_CRIT,164,165,d,,NUMERICO
PESO_ESCOLA,166,180,d,10,NUMERICO
N_TURMAS,181,181,d,,NUMERICO
PROBSELTURMA,182,191,d,9,NUMERICO
PESO_TURMA,192,206,d,10,NUMERICO
PART,207,208,d,,NUMERICO
N_PART,209,210,d,,NUMERICO
SEXO,211,212,d,,NUMERICO
PESO_AJU_FREQ,213,227,c,,NUMERICO
PESO_AJU_SEXO,228,242,c,,NUMERICO
DEP2,243,243,d,,NUMERICO
GR_IDADE,244,244,c,,NUMERICO
INST_MAE,245,245,c,,NUMERICO
FRUTA,246,246,c,,NUMERICO
PARENTAL,247,247,c,,NUMERICO
COME_RESP,248,248,c,,NUMERICO
RESP_SABE,249,249,c,,NUMERICO
RESP_FUMO,250,250,c,,NUMERICO
FALTA_AULA,251,251,c,,NUMERICO
AGRESSAO,252,252,c,,NUMERICO
COMEU_FEIJAO,253,253,c,,NUMERICO
COMEU_FRUTA,254,254,c,,NUMERICO
COMEU_GULOS,255,255,c,,NUMERICO
BEBEU_REFRI,256,256,c,,NUMERICO
TV,257,257,c,,NUMERICO
PC,258,258,c,,NUMERICO
EXPCIG,259,259,c,,NUMERICO
FUMAREG,260,260,c,,NUMERICO
EXPALC,261,261,c,,NUMERICO
BEBEREG,262,262,c,,NUMERICO
EMBRIAGUEZ,263,263,c,,NUMERICO
EXPDRO,264,264,c,,NUMERICO
EXPSEX,265,265,c,,NUMERICO
AULASEF,266,266,c,,NUMERICO
BULLYING,267,267,c,,NUMERICO
PRESERV,268,268,c,,NUMERICO
SEGTRAJ,269,269,c,,NUMERICO
SEGESC,270,270,c,,NUMERICO
SENTINSEG,271,271,c,,NUMERICO
CINTO,272,272,c,,NUMERICO
DIRIGIU,273,273,c,,NUMERICO
MOTALCOOL,274,274,c,,NUMERICO
ESCOVA,275,275,c,,NUMERICO
DORDENTE,276,276,c,,NUMERICO
IMAGEM,277,277,c,,NUMERICO
PRODPESO,278,278,c,,NUMERICO
FEIJAO,279,279,c,,NUMERICO
BATATA,280,280,c,,NUMERICO
