"target_variable","status","source_columns","expression","notes","lookup_table"
"participant_id","compatible","responseid","as.character(responseid)","Numeric in source; coerced to character",""
"wave","unavailable","","","Cross-sectional study",""
"data_year","inferred","","2018","Assumed from 10.1098/rsos.171474",""
"age_years","compatible","dagechildfinal","as.numeric(as.character(haven::as_factor(dagechildfinal)))","Carer-reported child age (14 or 15 only)",""
"sex","compatible","d8","recode_values(d8, 1 ~ ""Male"", 2 ~ ""Female"", 3 ~ ""Other"", 4 ~ ""Unknown"")","Carer-reported child gender; 'Another way' mapped to Other and 'Prefer not to say' to Unknown",""
"country","compatible","gor","recode_values(
  as.numeric(gor),
  1 ~ ""Scotland"",
  7 ~ ""Wales"",
  c(2, 3, 4, 5, 6, 8, 9, 10, 11) ~ ""England"",
  default = ""Unknown""
)","UK Government Office Region; only England regions/Scotland/Wales observed; Northern Ireland/Isle of Man/Channel Islands would fall to Unknown as not in allowed values",""
"state","unavailable","","","",""
"ethnicity","compatible","d5","lookup_values(haven::as_factor(d5), lookup_ethnicity, dataset_id = spec$dataset_id, target_variable = ""ethnicity"")","Carer's own ethnic group (UK census categories) used as proxy for child; shared mapping in harmonisation/lookups/ethnicity.csv","ethnicity"
"indigenous","unavailable","","","Not collected (UK sample)",""
"minority","compatible","d5","recode_values(
  as.numeric(d5),
  c(1, 2, 6) ~ ""Non-minority"",
  c(3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15) ~ ""Minority"",
  default = ""Unknown""
)","Derived from carer ethnicity; White groups (including Other White) treated as non-minority in the UK",""
"ses_area","unavailable","","","No area-level SES; household income captured in ses_household",""
"ses_household","compatible","d3","lookup_values(
  haven::as_factor(d3),
  lookup_ses_household,
  dataset_id = spec$dataset_id,
  target_variable = ""ses_household""
)","Gross annual household income bands (carer-reported) mapped to within-sample quintiles, each band assigned to the quintile containing its cumulative midpoint; Q1-2 Low (41%), Q3 Medium (24%), Q4-5 High (35%); shared mapping in harmonisation/lookups/ses_household.csv","ses_household"
"ses_household_measure","inferred","","""Gross annual household income (13 bands)""","Carer-reported combined annual household income before tax",""
"maternal_education","unavailable","","","Respondent is the carer (58% mothers) but education not asked",""
"st_measure_type","inferred","","""Categorical""","Hours-per-day bands per named game (none to 7+ hours)",""
"st_measure_name","inferred","","""Custom""","Bespoke items: usual daily hours for each of up to three most-played games in the past month",""
"st_total_wd","in_progress","","","",""
"st_total_we","in_progress","","","",""
"st_total","in_progress","","","",""
"st_watch_wd","unavailable","","","",""
"st_watch_we","unavailable","","","",""
"st_watch","unavailable","","","",""
"st_game_wd","unavailable","","","Usual-day measure only",""
"st_game_we","unavailable","","","Usual-day measure only",""
"st_game","compatible","a2, a4_1, a4_2, a4_3, a6_1, a6_2, a6_3","case_when(
  as.numeric(a2) == 2 ~ 0,
  is.na(a4_1) ~ NA,
  .default = if_else(
    coalesce(as.numeric(a4_1), 0) %in% c(1, 3),
    recode_values(as.numeric(a6_1), 1 ~ 0, 2 ~ 0.5, 3 ~ 1, 4 ~ 2, 5 ~ 3, 6 ~ 4, 7 ~ 5, 8 ~ 6, 9 ~ 7),
    0
  ) +
    if_else(
      coalesce(as.numeric(a4_2), 0) %in% c(1, 3),
      recode_values(as.numeric(a6_2), 1 ~ 0, 2 ~ 0.5, 3 ~ 1, 4 ~ 2, 5 ~ 3, 6 ~ 4, 7 ~ 5, 8 ~ 6, 9 ~ 7),
      0
    ) +
    if_else(
      coalesce(as.numeric(a4_3), 0) %in% c(1, 3),
      recode_values(as.numeric(a6_3), 1 ~ 0, 2 ~ 0.5, 3 ~ 1, 4 ~ 2, 5 ~ 3, 6 ~ 4, 7 ~ 5, 8 ~ 6, 9 ~ 7),
      0
    )
)","Usual hours/day summed across up to three most-played games on PC (a4=1) or console (a4=3); band midpoint-style recode per study syntax; non-players (a2=No) set to 0; players who could not name games (a3dk) set to NA; covers top-3 games only so may undercount",""
"st_game_comp_wd","unavailable","","","",""
"st_game_comp_we","unavailable","","","",""
"st_game_comp","compatible","a2, a4_1, a4_2, a4_3, a6_1, a6_2, a6_3","case_when(
  as.numeric(a2) == 2 ~ 0,
  is.na(a4_1) ~ NA,
  .default = if_else(
    coalesce(as.numeric(a4_1), 0) == 1,
    recode_values(as.numeric(a6_1), 1 ~ 0, 2 ~ 0.5, 3 ~ 1, 4 ~ 2, 5 ~ 3, 6 ~ 4, 7 ~ 5, 8 ~ 6, 9 ~ 7),
    0
  ) +
    if_else(
      coalesce(as.numeric(a4_2), 0) == 1,
      recode_values(as.numeric(a6_2), 1 ~ 0, 2 ~ 0.5, 3 ~ 1, 4 ~ 2, 5 ~ 3, 6 ~ 4, 7 ~ 5, 8 ~ 6, 9 ~ 7),
      0
    ) +
    if_else(
      coalesce(as.numeric(a4_3), 0) == 1,
      recode_values(as.numeric(a6_3), 1 ~ 0, 2 ~ 0.5, 3 ~ 1, 4 ~ 2, 5 ~ 3, 6 ~ 4, 7 ~ 5, 8 ~ 6, 9 ~ 7),
      0
    )
)","Games played on a personal computer (a4=1); same construction as st_game",""
"st_game_console_wd","unavailable","","","",""
"st_game_console_we","unavailable","","","",""
"st_game_console","compatible","a2, a4_1, a4_2, a4_3, a6_1, a6_2, a6_3","case_when(
  as.numeric(a2) == 2 ~ 0,
  is.na(a4_1) ~ NA,
  .default = if_else(
    coalesce(as.numeric(a4_1), 0) == 3,
    recode_values(as.numeric(a6_1), 1 ~ 0, 2 ~ 0.5, 3 ~ 1, 4 ~ 2, 5 ~ 3, 6 ~ 4, 7 ~ 5, 8 ~ 6, 9 ~ 7),
    0
  ) +
    if_else(
      coalesce(as.numeric(a4_2), 0) == 3,
      recode_values(as.numeric(a6_2), 1 ~ 0, 2 ~ 0.5, 3 ~ 1, 4 ~ 2, 5 ~ 3, 6 ~ 4, 7 ~ 5, 8 ~ 6, 9 ~ 7),
      0
    ) +
    if_else(
      coalesce(as.numeric(a4_3), 0) == 3,
      recode_values(as.numeric(a6_3), 1 ~ 0, 2 ~ 0.5, 3 ~ 1, 4 ~ 2, 5 ~ 3, 6 ~ 4, 7 ~ 5, 8 ~ 6, 9 ~ 7),
      0
    )
)","Games played on a console (a4=3); source category does not distinguish handheld consoles so they may be included here; same construction as st_game",""
"st_game_handheldconsole_wd","unavailable","","","",""
"st_game_handheldconsole_we","unavailable","","","",""
"st_game_handheldconsole","unavailable","","","Not separable from the generic console platform category",""
"st_game_active_wd","unavailable","","","",""
"st_game_active_we","unavailable","","","",""
"st_game_active","unavailable","","","",""
"st_game_phone_wd","unavailable","","","",""
"st_game_phone_we","unavailable","","","",""
