source_value,harmonised_value,notes
US | African American,Minority,"USA, 'African American' (n=330). National majority reference: White Americans (~72% at the 2010 census)."
US | White/Caucasian,Non-minority,"USA, 'White/Caucasian' (n=260). National majority reference: White Americans (~72% at the 2010 census)."
US | Asian,Minority,"USA, 'Asian' (n=22). National majority reference: White Americans (~72% at the 2010 census)."
US | Other,Minority,"USA, 'Other' (n=17). National majority reference: White Americans (~72% at the 2010 census)."
US | Mixed,Minority,"USA, 'Mixed' (n=3). National majority reference: White Americans (~72% at the 2010 census)."
US | White and Asian,Minority,"USA, 'White and Asian' (n=2). National majority reference: White Americans (~72% at the 2010 census)."
US | Pacific Islander,Minority,"USA, 'Pacific Islander' (n=1). National majority reference: White Americans (~72% at the 2010 census)."
US | Don't Know,Unknown,"USA, 'Don't Know' (n=1). National majority reference: White Americans (~72% at the 2010 census). Non-response."
UK | White English/Welsh/Scottish Northern Irish/British,Non-minority,"England (Bath), 'White English/Welsh/Scottish Northern Irish/British' (n=414). National majority reference: White ethnic groups (~86% at the 2011 census)."
UK | Other,Minority,"England (Bath), 'Other' (n=38). National majority reference: White ethnic groups (~86% at the 2011 census)."
UK | White and Black Caribbean,Minority,"England (Bath), 'White and Black Caribbean' (n=5). National majority reference: White ethnic groups (~86% at the 2011 census)."
UK | White and Black African,Minority,"England (Bath), 'White and Black African' (n=4). National majority reference: White ethnic groups (~86% at the 2011 census)."
UK | Indian,Minority,"England (Bath), 'Indian' (n=3). National majority reference: White ethnic groups (~86% at the 2011 census)."
UK | Chinese,Minority,"England (Bath), 'Chinese' (n=3). National majority reference: White ethnic groups (~86% at the 2011 census)."
UK | White Irish,Non-minority,"England (Bath), 'White Irish' (n=2). National majority reference: White ethnic groups (~86% at the 2011 census)."
UK | White and Asian,Minority,"England (Bath), 'White and Asian' (n=2). National majority reference: White ethnic groups (~86% at the 2011 census)."
UK | White/Caucasian,Non-minority,"England (Bath), 'White/Caucasian' (n=1). National majority reference: White ethnic groups (~86% at the 2011 census)."
UK | Arab,Minority,"England (Bath), 'Arab' (n=1). National majority reference: White ethnic groups (~86% at the 2011 census)."
Australia | European origin,Non-minority,"Australia, 'European origin' (n=312). National majority reference: Australians of European ancestry (~85% at the 2011 census)."
Australia | Other,Minority,"Australia, 'Other' (n=135). National majority reference: Australians of European ancestry (~85% at the 2011 census)."
Australia | Asian,Minority,"Australia, 'Asian' (n=32). National majority reference: Australians of European ancestry (~85% at the 2011 census)."
Australia | Aboriginal or Torres Strait Islander,Minority,"Australia, 'Aboriginal or Torres Strait Islander' (n=10). National majority reference: Australians of European ancestry (~85% at the 2011 census)."
Australia | Don't Know,Unknown,"Australia, 'Don't Know' (n=7). National majority reference: Australians of European ancestry (~85% at the 2011 census). Non-response."
Australia | White/Caucasian,Non-minority,"Australia, 'White/Caucasian' (n=2). National majority reference: Australians of European ancestry (~85% at the 2011 census)."
Australia | Indian,Minority,"Australia, 'Indian' (n=2). National majority reference: Australians of European ancestry (~85% at the 2011 census)."
Australia | African or African (black),Minority,"Australia, 'African or African (black)' (n=2). National majority reference: Australians of European ancestry (~85% at the 2011 census)."
Australia | Indian Hindu,Minority,"Australia, 'Indian Hindu' (n=1). National majority reference: Australians of European ancestry (~85% at the 2011 census)."
Portugal | White/Caucasian,Non-minority,"Portugal, 'White/Caucasian' (n=678). National majority reference: White Portuguese."
Portugal | Mixed,Minority,"Portugal, 'Mixed' (n=2). National majority reference: White Portuguese."
Portugal | Asian,Minority,"Portugal, 'Asian' (n=1). National majority reference: White Portuguese."
Portugal | Other,Minority,"Portugal, 'Other' (n=1). National majority reference: White Portuguese."
South Africa | Mixed Ancestry or Coloured,Minority,"South Africa, 'Mixed Ancestry or Coloured' (n=254). National majority reference: Black South Africans (~79% nationally). Coloured South Africans are a numerical minority nationally (~9%) although they are the largest group in the Cape Town sampling frame."
South Africa | Black South African,Non-minority,"South Africa, 'Black South African' (n=151). National majority reference: Black South Africans (~79% nationally)."
South Africa | White/Caucasian,Minority,"South Africa, 'White/Caucasian' (n=49). National majority reference: Black South Africans (~79% nationally)."
South Africa | Indian,Minority,"South Africa, 'Indian' (n=10). National majority reference: Black South Africans (~79% nationally)."
South Africa | Other,Minority,"South Africa, 'Other' (n=8). National majority reference: Black South Africans (~79% nationally)."
South Africa | Asian,Minority,"South Africa, 'Asian' (n=1). National majority reference: Black South Africans (~79% nationally)."
South Africa | African or African (black),Non-minority,"South Africa, 'African or African (black)' (n=1). National majority reference: Black South Africans (~79% nationally)."
Kenya | African or African (black),Non-minority,"Kenya, 'African or African (black)' (n=544). National majority reference: Black Kenyans (~99% nationally)."
Kenya | Asian,Minority,"Kenya, 'Asian' (n=13). National majority reference: Black Kenyans (~99% nationally)."
Kenya | White/Caucasian,Minority,"Kenya, 'White/Caucasian' (n=2). National majority reference: Black Kenyans (~99% nationally)."
Kenya | White and Black African,Minority,"Kenya, 'White and Black African' (n=1). National majority reference: Black Kenyans (~99% nationally)."
Kenya | White and Asian,Minority,"Kenya, 'White and Asian' (n=1). National majority reference: Black Kenyans (~99% nationally)."
Colombia | Other,Unknown,"Colombia, 'Other' (n=404). National majority reference: Mestizo/White Colombians (~85% nationally). 'Other' is the modal response at the Colombian site because Mestizo has no explicit response option, so it cannot be read as either majority or minority."
Colombia | Don't Know,Unknown,"Colombia, 'Don't Know' (n=364). National majority reference: Mestizo/White Colombians (~85% nationally). Non-response."
Colombia | Mixed afro-colombians heritage,Minority,"Colombia, 'Mixed afro-colombians heritage' (n=98). National majority reference: Mestizo/White Colombians (~85% nationally)."
Colombia | Indigenous,Minority,"Colombia, 'Indigenous' (n=42). National majority reference: Mestizo/White Colombians (~85% nationally)."
Colombia | Mixed,Unknown,"Colombia, 'Mixed' (n=7). National majority reference: Mestizo/White Colombians (~85% nationally). Colombian 'Mixed' overlaps the Mestizo majority and cannot be read as a minority."
Colombia | White/Caucasian,Non-minority,"Colombia, 'White/Caucasian' (n=2). National majority reference: Mestizo/White Colombians (~85% nationally)."
Colombia | Asian,Minority,"Colombia, 'Asian' (n=1). National majority reference: Mestizo/White Colombians (~85% nationally)."
