target_variable,status,source_columns,expression,notes,lookup_table
participant_id,in_progress,,,,
wave,in_progress,,,,
age_years,in_progress,,,,
sex,in_progress,,,,
country,in_progress,,,,
ethnicity,in_progress,,,,
minority,in_progress,,,,
ses_area,in_progress,,,,
st_measure_type,in_progress,,,,
st_measure_name,in_progress,,,,
st_watch_wd,in_progress,,,,
st_watch_we,in_progress,,,,
st_game_wd,in_progress,,,,
st_game_we,in_progress,,,,
st_comp_wd,in_progress,,,,
st_comp_we,in_progress,,,,
st_phone_wd,in_progress,,,,
st_phone_we,in_progress,,,,
wb_mwb_wemwbs,in_progress,,,,
